"cap-surface","cap-color","spore-print-color","habitat","class"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"smoothcaly","brown","black","grasses","poisonous"
"smooth","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","black","grasses","poisonous"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"smoothcaly","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"smoothcaly","brown","browhiten","grasses","poisonous"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","brown","black","grasses","poisonous"
"smoothcaly","brown","browhiten","paths","edible"
"smoothcaly","brown","black","paths","edible"
"fibrousmooth","brown","black","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smoothcaly","gray","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smoothcaly","red","browhiten","woods","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","woods","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","brown","black","woods","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","black","woods","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","woods","edible"
"smoothcaly","brown","black","grasses","poisonous"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","browhiten","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","red","black","woods","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"fibrousmooth","gray","black","woods","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"smoothcaly","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","red","browhiten","woods","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","brown","black","woods","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"smoothcaly","brown","black","paths","edible"
"smoothcaly","brown","black","paths","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","red","browhiten","woods","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","red","browhiten","woods","edible"
"fibrousmooth","brown","black","grasses","edible"
"smoothcaly","brown","black","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","gray","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"smooth","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"smoothcaly","brown","black","grasses","poisonous"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"smoothcaly","red","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","red","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","woods","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","browhiten","woods","edible"
"smoothcaly","gray","browhiten","woods","edible"
"smoothcaly","gray","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","black","woods","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","woods","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smoothcaly","brown","black","paths","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","black","woods","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smoothcaly","gray","black","woods","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","red","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","red","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","gray","browhiten","woods","edible"
"smoothcaly","brown","black","grasses","poisonous"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"fibrousmooth","gray","black","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"smoothcaly","gray","black","woods","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","red","black","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"smoothcaly","gray","browhiten","woods","edible"
"smoothcaly","brown","browhiten","paths","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","woods","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","gray","black","woods","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","poisonous"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","gray","black","woods","edible"
"fibrousmooth","gray","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"fibrousmooth","gray","black","woods","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"smooth","brown","black","grasses","edible"
"smoothcaly","brown","black","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smooth","gray","black","grasses","edible"
"smooth","brown","black","grasses","poisonous"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","brown","black","grasses","edible"
"fibrousmooth","brown","black","woods","edible"
"fibrousmooth","brown","browhiten","grasses","edible"
"smooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"smoothcaly","brown","browhiten","grasses","poisonous"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
"fibrousmooth","brown","black","grasses","edible"
"fibrousmooth","brown","browhiten","woods","edible"
"smooth","gray","black","grasses","edible"
"smooth","gray","black","grasses","edible"
"fibrousmooth","gray","browhiten","grasses","edible"
